
---

13/11/16 	 10:42 	 Mensagens que você envia para esta conversa e chamadas agora são protegidas com criptografia de ponta-a-ponta. Toque para mais informações.
11/01/17 	 09:16 	 Lucas Armand 	 E por causa disso eu estou fazendo uma pesquisa sobre as tecnologias da informação e como as empresas se relacionam com seus clientes
11/01/17 	 09:17 	 Lucas Armand 	 Se vcs quiserem constarem 	 quiserem e puderem
11/01/17 	 09:17 	 Lucas Armand 	 E gostaria que vocês respondessem a 3 três perguntas (que eu acho que quem saberia responder é você mesmo )
11/01/17 	 09:19 	 Dentista Valqueire 	 <Mídia omitida>
11/01/17 	 09:20 	 Lucas Armand 	 As perguntas são 	 
1) Quais são os meios que o consultório utiliza para realizar o agendamento das consultas ?

2) Qual é na sua opinião o principal meio de contato com o cliente?

3) Você conseguiria estimar percentualmente quantas consultas são marcadas por cada um dos meios ? Exemplo  	 (telefone 	 50% 	 Whatsapp- 40% e Facebook 10%)
11/01/17 	 09:21 	 Lucas Armand 	 Obrigado Aline!
11/01/17 	 09:21 	 Lucas Armand 	 Pode ser pelo Whatsapp sim
11/01/17 	 09:21 	 Lucas Armand 	 E pode responder áudio
11/01/17 	 09:21 	 Lucas Armand 	 <Mídia omitida>
11/01/17 	 09:23 	 Dentista Valqueire 	 já respondo
11/01/17 	 09:23 	 Dentista Valqueire 	 taa
11/01/17 	 09:28 	 Dentista Valqueire 	 <Mídia omitida>
11/01/17 	 09:28 	 Dentista Valqueire 	 ve se ta Bom rs
11/01/17 	 09:30 	 Lucas Armand 	 Tá ótimo Aline
11/01/17 	 09:30 	 Dentista Valqueire 	 <Mídia omitida>
11/01/17 	 09:30 	 Lucas Armand 	 Muito obrigado mesmo :)
11/01/17 	 09:30 	 Dentista Valqueire 	 nada.... imagina 💋
11/01/17 	 09:31 	 Lucas Armand 	 Beijos

---

